schedule_name,alpha_move,best_cost,evals,final_T,T0,Tmin,max_evals,seed
Case1: alpha_0.90,0.9,639.0,119,0.0009966808697526432,250.0,0.001,100000,42
Case2: alpha_0.95,0.95,604.0,244,0.0009655529473313844,250.0,0.001,100000,42
Case3: alpha_0.98,0.98,599.0,617,0.000984470337614805,250.0,0.001,100000,42
