eval,T,current_cost,best_cost,accepted
2,250.0,848.0,846.0,1
3,245.0,836.0,836.0,1
4,240.1,832.0,832.0,1
5,235.298,863.0,832.0,1
6,230.59204,796.0,796.0,1
7,225.9801992,738.0,738.0,1
8,221.46059521599997,738.0,738.0,0
9,217.03138331167997,764.0,738.0,1
10,212.69075564544636,759.0,738.0,1
11,208.43694053253742,728.0,728.0,1
12,204.26820172188667,728.0,728.0,0
13,200.18283768744894,738.0,728.0,1
14,196.17918093369997,782.0,728.0,1
15,192.25559731502597,764.0,728.0,1
16,188.41048536872543,770.0,728.0,1
17,184.6422756613509,770.0,728.0,1
18,180.9494301481239,751.0,728.0,1
19,177.33044154516142,783.0,728.0,1
20,173.78383271425818,797.0,728.0,1
21,170.30815605997302,834.0,728.0,1
22,166.90199293877356,832.0,728.0,1
23,163.56395307999807,820.0,728.0,1
24,160.29267401839812,836.0,728.0,1
25,157.08682053803014,812.0,728.0,1
26,153.94508412726952,848.0,728.0,1
27,150.86618244472413,882.0,728.0,1
28,147.84885879582964,848.0,728.0,1
29,144.89188161991305,793.0,728.0,1
30,141.9940439875148,814.0,728.0,1
31,139.1541631077645,834.0,728.0,1
32,136.37107984560922,848.0,728.0,1
33,133.64365824869702,846.0,728.0,1
34,130.9707850837231,835.0,728.0,1
35,128.35136938204863,849.0,728.0,1
36,125.78434199440765,787.0,728.0,1
37,123.2686551545195,787.0,728.0,0
38,120.80328205142911,784.0,728.0,1
39,118.38721641040053,820.0,728.0,1
40,116.01947208219251,778.0,728.0,1
41,113.69908264054865,788.0,728.0,1
42,111.42510098773768,774.0,728.0,1
43,109.19659896798292,782.0,728.0,1
44,107.01266698862327,828.0,728.0,1
45,104.8724136488508,810.0,728.0,1
46,102.77496537587378,810.0,728.0,0
47,100.7194660683563,788.0,728.0,1
48,98.70507674698916,781.0,728.0,1
49,96.73097521204937,788.0,728.0,1
50,94.79635570780839,804.0,728.0,1
51,92.90042859365222,814.0,728.0,1
52,91.04242002177918,856.0,728.0,1
53,89.2215716213436,857.0,728.0,1
54,87.43714018891673,852.0,728.0,1
55,85.68839738513839,852.0,728.0,0
56,83.97462943743562,838.0,728.0,1
57,82.29513684868691,852.0,728.0,1
58,80.64923411171317,853.0,728.0,1
59,79.0362494294789,846.0,728.0,1
60,77.45552444088932,846.0,728.0,1
61,75.90641395207153,862.0,728.0,1
62,74.3882856730301,804.0,728.0,1
63,72.9005199595695,777.0,728.0,1
64,71.4425095603781,776.0,728.0,1
65,70.01365936917054,814.0,728.0,1
66,68.61338618178713,828.0,728.0,1
67,67.24111845815139,799.0,728.0,1
68,65.89629608898836,817.0,728.0,1
69,64.57837016720859,799.0,728.0,1
70,63.286802763864415,795.0,728.0,1
71,62.02106670858713,783.0,728.0,1
72,60.780645374415386,773.0,728.0,1
73,59.56503246692708,811.0,728.0,1
74,58.373731817588535,813.0,728.0,1
75,57.206257181236765,801.0,728.0,1
76,56.06213203761203,819.0,728.0,1
77,54.94088939685979,813.0,728.0,1
78,53.842071608922595,811.0,728.0,1
79,52.76523017674414,801.0,728.0,1
80,51.709925573209254,802.0,728.0,1
81,50.67572706174507,824.0,728.0,1
82,49.66221252051017,831.0,728.0,1
83,48.66896827009996,812.0,728.0,1
84,47.695588904697956,821.0,728.0,1
85,46.741677126603996,821.0,728.0,0
86,45.80684358407191,812.0,728.0,1
87,44.890706712390475,800.0,728.0,1
88,43.992892578142666,800.0,728.0,0
89,43.11303472657981,800.0,728.0,1
90,42.25077403204821,781.0,728.0,1
91,41.405758551407246,763.0,728.0,1
92,40.5776433803791,777.0,728.0,1
93,39.76609051277152,758.0,728.0,1
94,38.97076870251609,758.0,728.0,1
95,38.191353328465766,758.0,728.0,0
96,37.42752626189645,759.0,728.0,1
97,36.67897573665852,759.0,728.0,1
98,35.94539622192535,776.0,728.0,1
99,35.226488297486846,776.0,728.0,1
100,34.52195853153711,787.0,728.0,1
101,33.83151936090637,781.0,728.0,1
102,33.154888973688244,784.0,728.0,1
