stop_name,Tmin,max_evals,best_cost,evals,final_T,T0,alpha_move,seed
Case1: Stop_Tmin_1e-3,0.001,100000,587.0,2481,0.0009981142547106248,250.0,0.995,42
Case2: Stop_budget_30k,0.0,30000,587.0,30000,1.2374831658097055e-63,250.0,0.995,42
Case3: Stop_Tmin_1e-6,1e-06,100000,587.0,3859,9.985861210626267e-07,250.0,0.995,42
